Var1,Var2,mean_aa_dist
NP_1,NP_2,4.93236845823684
NP_1,NP_3,7.56827457136674
NP_1,NP_4,19.7917564367411
NP_1,NP_5,3.19708820104404
NP_1,NP_6,3.00906135463173
NP_1,NP_7,3.29581864786934
NP_1,NP_8,2.94826520803801
NP_1,NP_9,10.4873684469963
NP_1,NP_10,11.1580839474532
NP_1,NP_11,8.40222913901113
NP_1,NP_12,4.25053783128107
NP_1,NP_13,3.76569393438993
NP_1,NP_14,4.75077917916756
NP_1,NP_15,2.3476271850192
NP_1,NP_16,8.49935917975004
NP_1,NP_18,4.48787018812655
NP_1,NP_19,3.19689202178796
NP_1,NP_20,2.94869432874075
NP_1,NP_21,2.15868311438645
NP_1,NP_22,2.6989746876001
NP_1,NP_23,8.67894905479015
NP_1,NP_24,2.6989746876001
NP_1,NP_25,4.6922460749761
NP_1,NP_26,3.19817366228771
NP_1,NP_27,16.6861582826017
NP_1,NP_28,17.7512015379686
NP_1,NP_29,12.6768663889779
NP_2,NP_3,7.23486723834311
NP_2,NP_4,19.0319850531049
NP_2,NP_5,3.23452107192585
NP_2,NP_6,5.2535402949086
NP_2,NP_7,3.07043726235752
NP_2,NP_8,5.22746469310143
NP_2,NP_9,10.7007165837965
NP_2,NP_10,13.6920076045618
NP_2,NP_11,10.4062601846826
NP_2,NP_12,4.46560293318806
NP_2,NP_13,5.9629716291315
NP_2,NP_14,4.94414103007272
NP_2,NP_15,4.62171525137319
NP_2,NP_16,10.6579610266159
NP_2,NP_18,5.24386203150457
NP_2,NP_19,3.48884664131804
NP_2,NP_20,3.16834600760452
NP_2,NP_21,4.42633079847906
NP_2,NP_22,2.99885931558935
NP_2,NP_23,8.87832699619772
NP_2,NP_24,2.99885931558935
NP_2,NP_25,5.93355513307978
NP_2,NP_26,3.49819391634977
NP_2,NP_27,16.1287072243346
NP_2,NP_28,18.4106463878327
NP_2,NP_29,12.8450570342205
NP_3,NP_4,19.6613860433805
NP_3,NP_5,5.49554781650136
NP_3,NP_6,7.81037861006221
NP_3,NP_7,4.97129707112964
NP_3,NP_8,7.86781231320981
NP_3,NP_9,13.4233665915675
NP_3,NP_10,15.712669456067
NP_3,NP_11,13.4007172743576
NP_3,NP_12,6.9882247459653
NP_3,NP_13,7.77611844222728
NP_3,NP_14,7.40053252187146
NP_3,NP_15,7.19562993956294
NP_3,NP_16,13.4501046025105
NP_3,NP_18,7.88164973102213
NP_3,NP_19,6.12900976290097
NP_3,NP_20,5.87928870292887
NP_3,NP_21,6.91799163179916
NP_3,NP_22,5.62928870292887
NP_3,NP_23,11.6217573221757
NP_3,NP_24,5.62928870292887
NP_3,NP_25,8.62008368200839
NP_3,NP_26,6.12887029288702
NP_3,NP_27,16.5146443514644
NP_3,NP_28,20.4644351464435
