Var1,Var2,mean_aa_dist
NS1_1,NS1_2,7.83276630203683
NS1_1,NS1_3,22.4962984309535
NS1_1,NS1_4,26.6267915981119
NS1_1,NS1_5,62.2520840481997
NS1_1,NS1_6,20.115310831759
NS1_1,NS1_7,14.1351613749662
NS1_1,NS1_8,13.8120399397867
NS1_1,NS1_9,17.0823056065768
NS1_1,NS1_10,14.8974426255978
NS1_1,NS1_11,64.3747485349426
NS1_1,NS1_12,12.2347444531909
NS1_1,NS1_13,13.5818682760431
NS1_1,NS1_14,28.3188139595907
NS1_1,NS1_15,58.1775124639202
NS1_1,NS1_16,62.1561270007872
NS1_1,NS1_17,18.5810810810811
NS1_1,NS1_18,53.2007347152978
NS1_1,NS1_19,11.7665966937812
NS1_2,NS1_3,20.8384964047576
NS1_2,NS1_4,25.6607209581152
NS1_2,NS1_5,60.3082385400215
NS1_2,NS1_6,19.0865370773577
NS1_2,NS1_7,13.4051284796565
NS1_2,NS1_8,12.5586470190466
NS1_2,NS1_9,17.7017665952892
NS1_2,NS1_10,15.4656769889637
NS1_2,NS1_11,62.4489352843208
NS1_2,NS1_12,12.2791755888653
NS1_2,NS1_13,13.0985010706638
NS1_2,NS1_14,24.8541220556745
NS1_2,NS1_15,56.0923447537473
NS1_2,NS1_16,60.2363490364026
NS1_2,NS1_17,19.7320663811563
NS1_2,NS1_18,51.6782655246253
NS1_2,NS1_19,12.7529443254818
NS1_3,NS1_4,34.2280187974162
NS1_3,NS1_5,68.1631600260576
NS1_3,NS1_6,26.9777327273322
NS1_3,NS1_7,23.4489753566794
NS1_3,NS1_8,23.2979042938084
NS1_3,NS1_9,26.292607003891
NS1_3,NS1_10,23.6621271076524
NS1_3,NS1_11,70.2744631791324
NS1_3,NS1_12,22.0416486525435
NS1_3,NS1_13,9.87094682230869
NS1_3,NS1_14,35.8566796368353
NS1_3,NS1_15,64.2619974059663
NS1_3,NS1_16,68.1011673151751
NS1_3,NS1_17,32.2795071335927
NS1_3,NS1_18,61.3326848249027
NS1_3,NS1_19,21.7866407263294
NS1_4,NS1_5,62.8289479963385
NS1_4,NS1_6,28.0173868204999
NS1_4,NS1_7,26.0340172579102
NS1_4,NS1_8,29.6102336377857
NS1_4,NS1_9,30.3815276446149
NS1_4,NS1_10,29.2874105760012
NS1_4,NS1_11,64.7574304889741
NS1_4,NS1_12,26.9058272078406
NS1_4,NS1_13,27.575263662512
NS1_4,NS1_14,35.7593480345158
NS1_4,NS1_15,61.5445829338447
NS1_4,NS1_16,62.5474592521572
NS1_4,NS1_17,11.823585810163
NS1_4,NS1_18,56.5704697986577
NS1_4,NS1_19,9.44678811121764
NS1_5,NS1_6,63.2152933571619
NS1_5,NS1_7,60.6266063348416
NS1_5,NS1_8,64.8992617289831
NS1_5,NS1_9,60.7146304675716
NS1_5,NS1_10,59.0668290985033
NS1_5,NS1_11,5.1649069884364
NS1_5,NS1_12,59.4107591754651
NS1_5,NS1_13,63.9773755656109
NS1_5,NS1_14,67.2081447963801
NS1_5,NS1_15,7.86877828054299
NS1_5,NS1_16,2.73755656108597
NS1_5,NS1_17,62.0678733031674
NS1_5,NS1_18,11.2714932126697
NS1_5,NS1_19,51.9954751131222
NS1_6,NS1_7,25.5193277310924
NS1_6,NS1_8,21.8067226890756
NS1_6,NS1_9,23.7809523809524
NS1_6,NS1_10,23.8506787330317
NS1_6,NS1_11,65.3734827264239
NS1_6,NS1_12,24.3137254901961
NS1_6,NS1_13,18.3949579831933
NS1_6,NS1_14,34.1344537815126
NS1_6,NS1_15,57.2521008403361
NS1_6,NS1_16,63.1512605042017
NS1_6,NS1_17,31.2268907563025
NS1_6,NS1_18,54.2352941176471
NS1_6,NS1_19,20.2016806722689
NS1_7,NS1_8,18.6610526315789
NS1_7,NS1_9,22.856
NS1_7,NS1_10,19.9969230769231
NS1_7,NS1_11,62.7022222222222
NS1_7,NS1_12,6.41777777777778
NS1_7,NS1_13,18.2
NS1_7,NS1_14,31.16
NS1_7,NS1_15,57.56
NS1_7,NS1_16,60.56
NS1_7,NS1_17,23.24
NS1_7,NS1_18,56.68
NS1_7,NS1_19,16.92
NS1_8,NS1_9,17.1614035087719
NS1_8,NS1_10,17.0931174089069
NS1_8,NS1_11,67.0643274853801
NS1_8,NS1_12,17.7485380116959
NS1_8,NS1_13,14.1578947368421
NS1_8,NS1_14,32.6842105263158
NS1_8,NS1_15,61
NS1_8,NS1_16,64.8421052631579
NS1_8,NS1_17,25.9473684210526
NS1_8,NS1_18,56
NS1_8,NS1_19,16.421052631579
NS1_9,NS1_10,4.50769230769231
NS1_9,NS1_11,62.8888888888889
NS1_9,NS1_12,21.7037037037037
NS1_9,NS1_13,21.6666666666667
NS1_9,NS1_14,33.6666666666667
NS1_9,NS1_15,59.4666666666667
NS1_9,NS1_16,60.6666666666667
NS1_9,NS1_17,26.8
NS1_9,NS1_18,54.4666666666667
NS1_9,NS1_19,18.8
NS1_10,NS1_11,61.2222222222222
