Var1,Var2,mean_aa_dist
PB2_1,PB2_2,8.61140729915437
PB2_1,PB2_3,13.6331273618999
PB2_1,PB2_4,9.88137060689864
PB2_1,PB2_5,10.0460831387523
PB2_1,PB2_6,12.9064044481228
PB2_1,PB2_7,12.2784814244502
PB2_1,PB2_8,9.43787628634278
PB2_1,PB2_9,22.9519002074788
PB2_1,PB2_10,9.32534313211758
PB2_1,PB2_11,7.54273467941991
PB2_1,PB2_12,7.99531697361471
PB2_1,PB2_13,6.79550016638359
PB2_1,PB2_14,7.02017730298036
PB2_1,PB2_15,8.85376857217409
PB2_1,PB2_16,5.8988202498114
PB2_1,PB2_17,6.41237301886577
PB2_1,PB2_18,14.4518455543758
PB2_1,PB2_19,5.50409898284505
PB2_1,PB2_20,26.9295076160128
PB2_1,PB2_21,9.09152837951986
PB2_1,PB2_22,7.3917817924194
PB2_1,PB2_23,6.34540677765968
PB2_1,PB2_24,15.8618048175697
PB2_1,PB2_25,7.78072972015585
PB2_1,PB2_26,8.38171145184952
PB2_1,PB2_27,9.71865037194464
PB2_1,PB2_28,55.9973432518597
PB2_1,PB2_29,7.41716849687095
PB2_1,PB2_30,6.09835872003781
PB2_1,PB2_31,8.96221513756049
PB2_1,PB2_32,10.3634431455898
PB2_1,PB2_33,5.11429920887948
PB2_1,PB2_34,9.86114063053487
PB2_1,PB2_35,6.74530641161886
PB2_1,PB2_36,10.6464753808006
PB2_1,PB2_37,8.19305703152679
PB2_1,PB2_38,5.49008147360956
PB2_1,PB2_39,8.4844137442437
PB2_1,PB2_40,10.541622387531
PB2_1,PB2_41,4.78143818632662
PB2_1,PB2_42,8.46723343960328
PB2_1,PB2_43,8.46687920651789
PB2_1,PB2_44,19.9723698193411
PB2_1,PB2_45,43.178887708112
PB2_1,PB2_46,11.3358129649309
PB2_1,PB2_47,9.46085724406661
PB2_2,PB2_3,12.9013483295076
PB2_2,PB2_4,9.08330272193748
PB2_2,PB2_5,9.4679452335392
PB2_2,PB2_6,12.390745215134
PB2_2,PB2_7,11.527541964395
PB2_2,PB2_8,8.59875853070987
PB2_2,PB2_9,21.9675984622311
PB2_2,PB2_10,10.1572045499431
PB2_2,PB2_11,6.72502605210461
PB2_2,PB2_12,7.60109209244171
PB2_2,PB2_13,5.98669662557411
PB2_2,PB2_14,6.30149245860066
PB2_2,PB2_15,8.08855446742628
PB2_2,PB2_16,5.08630304086443
PB2_2,PB2_17,5.66480056887968
PB2_2,PB2_18,15.2332505010017
PB2_2,PB2_19,5.45307758373894
PB2_2,PB2_20,27.1557114228445
PB2_2,PB2_21,8.56093725913372
PB2_2,PB2_22,6.94589178356711
PB2_2,PB2_23,5.54345357381434
PB2_2,PB2_24,14.8798597194389
PB2_2,PB2_25,7.10718580017179
PB2_2,PB2_26,7.59816776409965
PB2_2,PB2_27,8.93066132264523
PB2_2,PB2_28,55.712625250501
