Statistic,Mean,ESS,Type
joint,-20728.076,300,R
prior,-2587.578,244,R
likelihood,-18140.498,556,R
treeModel.rootHeight,3.929,4289,R
age(root),2020.224,4289,R
treeLength,185.396,234,R
exponential.popSize,10.077,1217,R
exponential.growthRate,0.225,1286,R
CP1+2.kappa,11.185,9262,R
CP3.kappa,9.952,9262,R
frequencies1,0.356,9094,R
frequencies2,0.189,9262,R
frequencies3,0.196,7734,R
frequencies4,0.258,8439,R
CP1+2.alpha,0.257,9167,R
CP3.alpha,0.622,9262,R
CP1+2.nu,0.548,8734,R
CP3.nu,0.452,8734,R
CP1+2.mu,0.822,8734,R
CP3.mu,1.357,8734,R
clock.rate,6.15E-03,642,R
meanRate,6.15E-03,642,R
treeLikelihood,-18140.498,556,R
branchRates,0.00E+00,-,*
coalescent,-2577.381,244,R
