	location
EPI_ISL_18074199|H5N1|a/crow/khabarovsk/776-56/2022_|2022-04-15|2022.285	Europe
EPI_ISL_18133417|H5N1|a/duck/montana/usda-013055-005/2022|2022-04-27|2022.318	North America
EPI_ISL_16171481|H5N1|a/pekin_duck/pennsylvania/22-013189-004-original/2022|2022-04-28|2022.321	North America
EPI_ISL_15518271|H5N1|a/red_fox/finland/2891_21rs3535-1/2021|2021-11-01|2021.833	Europe
EPI_ISL_18132734|H5N1|a/turkey/south_dakota/usda-009196-001/2022|2022-03-26|2022.23	North America
EPI_ISL_18292958|H5N1|a/arctic-fox/finland/675/2023|2023-08-01|2023.581	Europe
EPI_ISL_2174728|H5N1|a/barnacle_goose/netherlands/21025769-002/2021|2021-03-22|2021.219	Europe
EPI_ISL_17051023|H5N1|a/chicken/bc/aivphl-19/2022|2022-05-02|2022.332	North America
EPI_ISL_17208160|H5N1|a/black-headed_gull/netherlands/11/2023|2023-02-19|2023.134	Europe
EPI_ISL_18013308|H5N1|a/common_tern/germany-sh/2023ai05269/2023|2023-06-02|2023.416	Europe
EPI_ISL_16240228|H5N1|a/turkey/minnesota/22-014294-003-original/2022|2022-05-08|2022.348	North America
EPI_ISL_18132250|H5N1|a/turkey/indiana/usda-004688-003/2022|2022-02-14|2022.121	North America
EPI_ISL_18698949|H5N1|a/chicken/alabama/23-033467-002-original/2023|2023-11-01|2023.833	North America
EPI_ISL_18122450|H5N1|a/black-headed-gull/finland/7897/2023|2023-07-13|2023.529	Europe
EPI_ISL_1041173|H5N8|a/eastern_buzzard/toyama/160213t/2021|2021-02-10|2021.11	Asia
EPI_ISL_710511|H5N8|a/chicken/england/037052/2020|2020-11-21|2020.888	Europe
EPI_ISL_1305779|H5N5|a/duck/sweden/sva210311sz0004/kn0001570-ip14/2021|2021-03-10|2021.186	Europe
EPI_ISL_17051482|H5N1|a/canada_goose/bc/aivphl-371/2023|2023-01-16|2023.041	North America
EPI_ISL_16466440|H5N6|a/changsha/1/2022|2022-11-11|2022.86	Asia
EPI_ISL_3128528|H5N8|a/chicken/kosovo/113_21vir5162-19/2021|2021-06-03|2021.419	Europe
EPI_ISL_17821063|H5N1|a/black-headed_gull/netherlands/78/2023|2023-06-01|2023.414	Europe
EPI_ISL_16271835|H5N1|a/striped_skunk/idaho/22-037165-002-original/2022|2022-11-04|2022.841	North America
EPI_ISL_16174374|H5N1|a/rt-hawk/on/fav-0210/2022|2022-04-02|2022.249	North America
EPI_ISL_18132843|H5N1|a/turkey/north_carolina/usda-010448-003/2022|2022-04-06|2022.26	North America
EPI_ISL_17716078|H5N1|a/black-headed_gull/austria/23061383-001/2023|2023-05-09|2023.351	Europe
EPI_ISL_16984685|H5N1|a/chroicocephalus_ridibundus/belgium/00132_0002/2022|2022-12-28|2022.989	Europe
EPI_ISL_18755540|H5N1|a/northern_pintail/alaska/usgs-0760/2022|2022-09-30|2022.745	North America
EPI_ISL_16240223|H5N1|a/chicken/idaho/22-014275-001-original/2022|2022-05-09|2022.351	North America
EPI_ISL_1399242|H5N8|a/mute_swan/czech_republic/4606/2021|2021-03-04|2021.17	Europe
EPI_ISL_16297076|H5N1|a/guinea_fowl/south_carolina/22-035153-002-original/2022|2022-10-28|2022.822	North America
EPI_ISL_11007533|H5N1|a/swan/slovenia/2073_22vir777-6/2021|2021-12-30|2021.995	Europe
EPI_ISL_18665656|H5N1|a/canada_goose/bc/aivphl-1443/2023|2023-11-24|2023.896	North America
EPI_ISL_14937104|H5N1|a/snow_goose/kansas/w22-199c/2022|2022-03-12|2022.192	North America
EPI_ISL_16507097|H5N1|a/seagull/spain/22vir12774-15_4347-15/2022|2022-11-17|2022.877	Europe
EPI_ISL_16243958|H5N1|a/pekin_duck/pennsylvania/22-015337-003-original/2022|2022-05-16|2022.37	North America
EPI_ISL_16632519|H5N1|a/great_black-backed_gull/massachusetts/22-022527-005-original/2022|2022-06-30|2022.493	North America
EPI_ISL_18458055|H5N1|a/chicken/poland/h1928_21rs3290-2/2021|2021-11-03|2021.838	Europe
EPI_ISL_14064986|H5N1|a/crow/hokkaido/0102l010/2022|2022-02-14|2022.121	Asia
EPI_ISL_18133376|H5N1|a/goose/michigan/usda-008506-005/2022|2022-03-17|2022.205	North America
EPI_ISL_18265321|H5N1|a/south_american_sea_lion/peru/aqp-ser00k/2023|2023-02-07|2023.101	South America
EPI_ISL_16297378|H5N1|a/chicken/arkansas/22-031676-001-original/2022|2022-10-06|2022.762	North America
EPI_ISL_1760446|H5N8|a/whooper_swan/shaanxi/sxy26/2020|2020-11-09|2020.855	Asia
EPI_ISL_13300319|H5N1|a/brant_goose/netherlands/22009881-002/2022|2022-05-26|2022.397	Europe
EPI_ISL_17424651|H5N1|a/blue-winged_teal/minnesota/ugai22-3611/2022|2022-09-15|2022.704	North America
EPI_ISL_18132704|H5N1|a/chicken/maryland/usda-007273-002/2022|2022-03-08|2022.181	North America
EPI_ISL_14760750|H5N1|a/laying_hen/italy/21vir11253-1/2021|2021-12-15|2021.953	Europe
EPI_ISL_18455264|H5N1|a/black_legged_kittiwake/norway/2023-07-650-2t/2023|2023-05-23|2023.389	Europe
EPI_ISL_16384173|H5N1|a/black-headed_gull/england/119699/2022|2022-12-01|2022.915	Europe
