	location
EPI_ISL_18698990|H5N1|a/chicken/montana/23-034345-002-original/2023|2023-11-06|2023.847	North America
EPI_ISL_18245817|H5N1|a/sandwich_tern/poland/mb142/2022|2022-06-15|2022.452	Europe
EPI_ISL_17414662|H5N1|a/goose/nigeria/vrd-21-293_21vir7423-26/2021|2021-05-28|2021.403	Africa
EPI_ISL_18132870|H5N1|a/bald_eagle/north_dakota/usda-010233-002/2022|2022-03-28|2022.236	North America
EPI_ISL_17964868|H5N1|a/great_horned_owl/colorado/23-005885-001-original/2023|2023-02-17|2023.129	North America
EPI_ISL_18133034|H5N1|a/bald_eagle/pennsylvania/usda-009884-002/2022|2022-03-25|2022.227	North America
EPI_ISL_846624|H5N8|a/wild_goose/poland/mb142/2020(h5n8)|2020-12-15|2020.954	Europe
EPI_ISL_17414637|H5N1|a/chicken/nigeria/157_22vir3286-68/2022|2022-02-03|2022.09	Africa
EPI_ISL_18698989|H5N1|a/chicken/utah/23-034218-001-original/2023|2023-11-06|2023.847	North America
EPI_ISL_17964880|H5N1|a/american_crow/new_york/23-006663-001-original/2023|2023-02-27|2023.156	North America
EPI_ISL_10434072|H5N2|a/swan/germany-bw/ai00996/2022|2022-01-29|2022.077	Europe
EPI_ISL_644160|H5N8|a/chicken/chelyabinsk/403/2020|2020-08-06|2020.596	Europe
EPI_ISL_18458691|H5N1|a/whooper_swan/germany-bb/2023ai00631-ak5025/2023|2023-01-19|2023.049	Europe
EPI_ISL_2227276|H5N1|a/barnacle_goose/netherlands/21027357-002/2021|2021-04-20|2021.299	Europe
EPI_ISL_18538407|H5N1|a/chicken/scotland/128320/2023|2023-10-22|2023.805	Europe
EPI_ISL_16633749|H5N1|a/_peregrine_falcon/sweden/sva230110sz0352/fb000084/m-2022|2022-12-31|2022.997	Europe
EPI_ISL_17885990|H5N1|a/black_vulture/georgia/w22-487/2022|2022-07-01|2022.496	North America
EPI_ISL_11007527|H5N1|a/laying_hen/moldova/68-1_22vir638-1/2022|2022-01-03|2022.005	Europe
EPI_ISL_13026236|H5N1|a/grey_heron/luxembourg/21243177/2021|2021-12-14|2021.951	Europe
EPI_ISL_16297371|H5N1|a/chicken/kentucky/22-031959-001-original/2022|2022-10-10|2022.773	North America
EPI_ISL_17964895|H5N1|a/red-tailed_hawk/utah/23-007867-003-original/2023|2023-03-03|2023.167	North America
EPI_ISL_18132625|H5N1|a/chicken/missouri/usda-006569-004/2022|2022-03-02|2022.164	North America
EPI_ISL_17964917|H5N1|a/red-tailed_hawk/connecticut/23-009880-001-original/2023|2023-03-23|2023.222	North America
EPI_ISL_13990715|H5N1|a/cygnus_olor/spain/1675-1_22vir6312-14/2022|2022-04-26|2022.315	Europe
EPI_ISL_18594303|H5N1|a/red_fox/denmark/08303-1.01/2023-04-29|2023-04-29|2023.323	Europe
EPI_ISL_5064971|H5N8|a/turkey/germany-ni/ai03609/2020|2020-12-26|2020.984	Europe
EPI_ISL_17679742|H5N1|a/little_gull/italy/23vir2222-2/2023|2023-03-12|2023.192	Europe
EPI_ISL_18647515|H5N1|a/larus_argentatus/belgium/08571_0001/2023|2023-09-11|2023.693	Europe
EPI_ISL_18132441|H5N1|a/chicken/delaware/usda-005260-001/2022|2022-02-21|2022.14	North America
EPI_ISL_810970|H5N8|_a/chicken/hungary/18466/2020_|2020-04-14|2020.284	Europe
EPI_ISL_1114759|H5N8|a/turkey/rostov-on-don/332-12/2021|2021-01-29|2021.077	Europe
EPI_ISL_11259266|H5N1|a/mute_swan/ireland/033945_22vir1325-16/2021|2021-11-19|2021.882	Europe
EPI_ISL_739689|H5N8|a/chicken/russia_novosibirsk_region/1910-2/2020|2020-09-22|2020.724	Europe
EPI_ISL_16183504|H5N1|a/chicken/ab/fav-0222-01/2022|2022-05-16|2022.37	North America
EPI_ISL_18455201|H5N5|a/great_black-backed_gull/norway/2022-07-1141-4t/2022|2022-06-15|2022.452	Europe
EPI_ISL_17679766|H5N1|a/black-headed_gull/italy/23vir1203-4/2023|2023-02-10|2023.11	Europe
EPI_ISL_5098133|H5N8|a/turkey/germany-ni/ai00591/2021_|2021-01-14|2021.036	Europe
EPI_ISL_18058695|H5N1|a/common_tern/austria/23072665-001/2023|2023-06-05|2023.425	Europe
EPI_ISL_17851885|H5N1|a/goose/ohio/oh22-21298/2022|2022-09-13|2022.699	North America
EPI_ISL_18245278|H5N1|a/whooper_swan/korea/22wc025/2022|2022-11-11|2022.86	Asia
EPI_ISL_14864646|H5N1|a/canada_goose/england/320660/2022|2022-07-26|2022.564	Europe
EPI_ISL_18133233|H5N1|a/mallard/new_hampshire/usda-003417-047/2022|2022-01-26|2022.068	North America
EPI_ISL_18445731|H5N1|a/herring_gull/france/22p017913/2022|2022-06-10|2022.438	Europe
EPI_ISL_18066454|H5N1|a/black-throated_crane/tokyo/1302005b/2023|2023-02-23|2023.145	Asia
EPI_ISL_18133231|H5N1|a/lesser_scaup/georgia/usda-006543-004/2022|2022-02-24|2022.148	North America
EPI_ISL_13955171|H5N1|a/chicken/czech_republic/2968/2022|2022-02-04|2022.093	Europe
EPI_ISL_18698985|H5N1|a/gyrfalcon/idaho/23-034082-001-original/2023|2023-10-27|2023.819	North America
EPI_ISL_1273437|H5N8|a/chicken/tochigi/2t/2021|2021-03-13|2021.195	Asia
EPI_ISL_11798571|H5N1|a/common_buzzard/denmark/24271-1.02/2021-10-25|2021-10-25|2021.814	Europe
EPI_ISL_17777525|H5N1|a/peruvian_booby/peru/lim-ins-004/2023|2023-04-03|2023.252	South America
EPI_ISL_18594618|H5N1|a/large-billed_crow/hokkaido/b068/2023|2023-11-24|2023.896	Asia
EPI_ISL_18133063|H5N1|a/american_wigeon/north_carolina/usda-001330-028/2022|2022-01-08|2022.019	North America
EPI_ISL_14760542|H5N1|a/turkey/italy/21vir8728-1/2021|2021-10-22|2021.805	Europe
EPI_ISL_10497305|H5N1|a/red_knot/germany-sh/ai01010/2022|2022-01-25|2022.066	Europe
EPI_ISL_17514174|H5N1|a/black-headed_gull/austria/23013413-003/2023|2023-01-23|2023.06	Europe
EPI_ISL_17638143|H5N1|a/chicken/hokkaido/hu-b202/2023|2023-04-02|2023.249	Asia
EPI_ISL_15852846|H5N1|a/chicken/south_africa/qf22465/2022|2022-02-07|2022.101	Africa
EPI_ISL_5463797|H5N1|a/duck/saratov/29-02v/2021|2021-09-30|2021.745	Europe
EPI_ISL_18065329|H5N1|a/sandwich_tern/england/086895/2023|2023-06-20|2023.466	Europe
EPI_ISL_17885912|H5N1|a/pelican/ohiggins/233721-1/2023|2023-01-24|2023.063	South America
EPI_ISL_18698938|H5N1|a/chicken/alaska/23-032967-001-original/2023|2023-10-27|2023.819	North America
EPI_ISL_18245382|H5N1|a/common_kestrel/korea/22wc597/2023|2023-03-07|2023.178	Asia
EPI_ISL_16297327|H5N1|a/chicken/florida/22-035222-003-original/2022|2022-11-01|2022.833	North America
EPI_ISL_16297118|H5N1|a/chicken/washington/22-035749-001-original/2022|2022-11-02|2022.836	North America
EPI_ISL_17785729|H5N1|a/mute_swan/austria/21154984-002/2021|2021-12-14|2021.951	Europe
EPI_ISL_1093424|H5N5|a/common_goldeneye/sva210202sz0464/kn000277/2021|2021-02-01|2021.085	Europe
EPI_ISL_14761318|H5N1|a/laying_hen/italy/22vir204-1/2022|2022-01-10|2022.025	Europe
EPI_ISL_17353508|H5N1|a/chicken/choco/ica-3502/2022|2022-11-13|2022.866	South America
EPI_ISL_11633709|H5N1|a/cygnus_columbianus/hubei/128/2021|2021-12-20|2021.967	Asia
EPI_ISL_18458050|H5N8|a/chicken/lithuania/4762_21vir3369-5/2021|2021-04-28|2021.321	Europe
EPI_ISL_15088309|H5N1|a/mallard/netherlands/6/2022|2022-08-24|2022.644	Europe
EPI_ISL_18133386|H5N1|a/goose/massachusetts/usda-005893-002/2022|2022-02-03|2022.09	North America
EPI_ISL_5260463|H5N8|a/whooper_swan/shanxi/4-2/2020|2020-11-10|2020.858	Asia
EPI_ISL_12474793|H5N1|a/barnacle_goose/netherlands/22007405-004/2022|2022-04-17|2022.29	Europe
EPI_ISL_7880696|H5N1|a/gallus_gallus/belgium/15977/2021|2021-12-06|2021.929	Europe
EPI_ISL_16013752|H5N1|a/pelican/venezuela/pel3/2022|2022-11-25|2022.899	South America
EPI_ISL_13026245|H5N1|a/canada_goose/luxembourg/22012198/2022|2022-01-17|2022.044	Europe
EPI_ISL_15878540|H5N1|a/mink/spain/3691-10_22vir10586-11/2022|2022-10-18|2022.795	Europe
EPI_ISL_603135|H5N1|a/eurasian_wigeon/netherlands/5/2020|2020-10-16|2020.79	Europe
EPI_ISL_5061890|H5N8|a/domestic_goose/germany-sh/ai02884/2020|2020-11-18|2020.88	Europe
EPI_ISL_12754536|H5N5|a/sea_eagle/norway/2022-07-198_22vir3866-2/2022|2022-03-24|2022.225	Europe
EPI_ISL_1114748|H5N8|a/chicken/rostov-on-don/308-04/2020|2020-10-25|2020.814	Europe
EPI_ISL_18660625|H5N1|a/mallard/netherlands/10/2023|2023-11-09|2023.855	Europe
EPI_ISL_18462529|H5N1|a/spur-winged_goose/nigeria/vrd22-305-ng06_23vir8254-101/2022|2022-03-01|2022.162	Africa
EPI_ISL_5260422|H5N8|a/duck/guangxi/s11043/2021|2021-02-01|2021.085	Asia
EPI_ISL_18698937|H5N1|a/chicken/washington/23-032826-001-original/2023|2023-10-24|2023.811	North America
EPI_ISL_16271854|H5N1|a/chicken/north_dakota/22-036126-001-original/2022|2022-11-08|2022.852	North America
EPI_ISL_2402936|H5N8|a/chicken/czech_republic/10251-1/2021|2021-05-16|2021.37	Europe
EPI_ISL_17185874|H5N1|a/black_vulture/georgia/w22-722c/2022|2022-08-30|2022.66	North America
EPI_ISL_16997756|H5N1|a/chicken/czech_republic/1600-1/2023|2023-01-29|2023.077	Europe
EPI_ISL_18668242|H5N1|a/gallus_gallus/belgium/11632_0003/2023|2023-12-08|2023.934	Europe
EPI_ISL_14571434|H5N1|a/common_tern/germany-ni/ai03512/2022|2022-06-16|2022.455	Europe
EPI_ISL_18698967|H5N1|a/turkey/south_dakota/23-033623-002-original/2023|2023-11-02|2023.836	North America
EPI_ISL_14619009|H5N1|a/hartlaubs_gull/south_africa/21050295/2021_(h5n1)|2021-05-17|2021.373	Africa
EPI_ISL_17964955|H5N1|a/red-tailed_hawk/new_york/23-014008-001-original/2023|2023-04-28|2023.321	North America
EPI_ISL_1238902|H5N8|a/common_pheasant/sweden/sva210224sz0005/kn000542-ip8/2021|2021-02-23|2021.145	Europe
EPI_ISL_18241797|H5N1|a/muscovy_duck/vietnam/hu16-dd144/2023|2023-06-05|2023.425	Asia
EPI_ISL_17965774|H5N1|a/pelican/costa_rica/inc-0018-d0370-23/2023|2023-01-26|2023.068	North America
EPI_ISL_16171499|H5N1|a/chicken/illinois/22-013392-002-original/2022|2022-05-02|2022.332	North America
EPI_ISL_14822756|H5N8|a/bar_headed_goose/tibet/t1707/2021|2021-05-19|2021.378	Asia
EPI_ISL_17514169|H5N1|a/gray_heron/austria/23025449/2023|2023-02-28|2023.159	Europe
EPI_ISL_17606828|H5N1|a/duck/korea/h608/2021|2021-12-13|2021.948	Asia
EPI_ISL_525462|H5N8|a/domestic_goose/poland/274/2020|2020-03-01|2020.164	Europe
EPI_ISL_18462539|H5N1|a/white-faced_whistling_duck/nigeria/vrd22-305-da17_23vir8254-112/2022|2022-04-01|2022.247	Africa
EPI_ISL_18033205|H5N1|a/black-headed_gull/poland/mb141-t/2023|2023-04-20|2023.299	Europe
EPI_ISL_16297086|H5N1|a/wild_turkey/new_york/22-034864-002-original/202|2022-10-28|2022.822	North America
EPI_ISL_17679810|H5N1|a/black-headead_gull/spain/416-11_23vir1687-6/2023|2023-01-16|2023.041	Europe
EPI_ISL_15647835|H5N1|a/common_teal/korea/wa537/2022|2022-10-19|2022.797	Asia
EPI_ISL_18132455|H5N1|a/snow_goose/kansas/usda-006804-007/2022|2022-02-28|2022.159	North America
EPI_ISL_17185926|H5N1|a/black_vulture/virginia/w22-662a/2022|2022-08-22|2022.638	North America
EPI_ISL_16979818|H5N1|a/black-headed_gull/italy/23vir1108-4/2023|2023-01-16|2023.041	Europe
EPI_ISL_17679733|H5N1|a/turkey/italy/23vir3366-1/2023|2023-04-10|2023.271	Europe
EPI_ISL_18698530|H5N1|a/chicken/argentina/3695-3/2023|2023-07-27|2023.567	South America
EPI_ISL_16056568|H5N1|a/eurasian_wigeon/netherlands/5/2022|2022-11-04|2022.841	Europe
EPI_ISL_18695298|H5N1|a/canada_goose/oregon/23-031491-001-original/2023|2023-10-11|2023.775	North America
EPI_ISL_17072337|H5N1|a/chicken/wales/023780/2023|2023-02-11|2023.112	Europe
EPI_ISL_525444|H5N8|a/chicken/poland/054/2020|2020-01-17|2020.044	Europe
EPI_ISL_7623511|H5N8|a/gallus_gallus/belgium/7578_001/2021|2021-06-04|2021.422	Europe
EPI_ISL_3102054|H5N5|a/european_herring_gull/bulgaria/222_21vir4270-1/2021|2021-03-30|2021.241	Europe
EPI_ISL_17964846|H5N1|a/coopers_hawk/new_mexico/23-004581-001-original/2023|2023-02-04|2023.093	North America
EPI_ISL_12754533|H5N1|a/pelican/romania/11334_22vir4106-3/2022|2022-03-17|2022.205	Europe
EPI_ISL_18001844|H5N1|a/arctic_tern/iceland/2023ai04250/2022|2022-07-03|2022.501	Europe
EPI_ISL_11922819|H5N1|a/laying_hen/romania/10470_22vir2749-5/2022|2022-02-10|2022.11	Europe
EPI_ISL_15614803|H5N1|a/ibis/egypt/rlqp-229s/2022|2022-06-17|2022.458	Africa
EPI_ISL_2234807|H5N3|a/knot_wader/ireland/472_21vir2956-1/2021|2021-01-01|2021	Europe
EPI_ISL_3950049|H5N8|a/mallard/sweden/sva210827sz0252/kn002973/d-2021|2021-08-26|2021.649	Europe
EPI_ISL_956411|H5N8|a/greylag_goose/italy/20vir7660-6/2020|2020-11-29|2020.91	Europe
EPI_ISL_17885928|H5N1|a/pelican/antofagasta/228318-1/2022|2022-12-16|2022.956	South America
EPI_ISL_16271829|H5N1|a/chicken/alaska/22-037940-001-original/2022|2022-11-23|2022.893	North America
EPI_ISL_11971471|H5N1|a/chicken/maine/22-008367-001-original/2022|2022-03-18|2022.208	North America
EPI_ISL_15852757|H5N1|a/chicken/south_africa/22010387/2022|2022-01-28|2022.074	Africa
EPI_ISL_18133073|H5N1|a/american_black_duck/ohio/usda-009209-007/2022|2022-03-09|2022.184	North America
EPI_ISL_14811896|H5N1|a/northern_gannet/sweden/sva220623sz0232/fb001982/o-2022|2022-06-20|2022.466	Europe
EPI_ISL_1114761|H5N8|a/chicken/krasnodar/334-02/2021|2021-01-05|2021.011	Europe
EPI_ISL_17424623|H5N1|a/harbor_seal/maine/mme-150-ns/2022|2022-07-02|2022.499	North America
EPI_ISL_2114013|H5N8|a/mute_swan/poland/mb272/2021|2021-03-06|2021.175	Europe
EPI_ISL_16209048|H5N8|a/duck/cambodia/f1pporeu241d3_c/2021|2021-09-16|2021.707	Asia
EPI_ISL_12471657|H5N1|a/pelican/greece/72_cl_22vir3126-11/2022|2022-03-15|2022.2	Europe
EPI_ISL_14932914|H5N1|a/chicken/south_africa/411542/2021_(h5n1)|2021-07-20|2021.548	Africa
EPI_ISL_2111625|H5N8|a/mute_swan/poland/mb131/2021|2021-02-15|2021.123	Europe
EPI_ISL_14886825|H5N1|a/duck/bangladesh/51600/2021|2021-12-19|2021.964	Asia
EPI_ISL_17716064|H5N1|a/black-headed_gull/austria/23030829-001/2023|2023-03-08|2023.181	Europe
EPI_ISL_18497946|H5N1|a/duck/peru/lam-ins-014/2023|2023-09-26|2023.734	South America
EPI_ISL_16297354|H5N1|a/turkey/alaska/22-032677-004-original/2022|2022-10-11|2022.775	North America
EPI_ISL_1046889|H5N8|a/chicken/netherlands/21023815-001005/2021|2021-02-19|2021.134	Europe
EPI_ISL_17996130|H5N1|a/sandwich_tern/italy/23vir5828-2/2023|2023-06-16|2023.455	Europe
EPI_ISL_16555205|H5N1|a/canada_goose/california/246038/2022|2022-07-05|2022.507	North America
EPI_ISL_16969355|H5N1|a/barnacle_goose/sweden/sva230125sz0350/fb000207/n-2023|2023-01-10|2023.025	Europe
EPI_ISL_17964901|H5N1|a/bald_eagle/south_carolina/23-008111-001-original/2023|2023-03-04|2023.17	North America
EPI_ISL_11259283|H5N1|a/fox/ireland/3866_22vir2064-1/2022|2022-02-14|2022.121	Europe
EPI_ISL_17964877|H5N1|a/red-tailed_hawk/california/23-006644-002-original/2023|2023-02-14|2023.121	North America
EPI_ISL_17679792|H5N1|a/mute_swan/slovenia/6_23vir1977-3/2023|2023-01-04|2023.008	Europe
EPI_ISL_17564773|H5N1|a/black-headed_gull/england/258811/2023|2023-03-25|2023.227	Europe
EPI_ISL_14163712|H5N1|a/european_herring_gull/netherlands/8/2022|2022-07-07|2022.512	Europe
EPI_ISL_14864637|H5N1|a/goose/england/317610/2022|2022-06-16|2022.455	Europe
EPI_ISL_13432606|H5N1|a/turkey/missouri/22-010142-001-original/2022|2022-04-04|2022.255	North America
EPI_ISL_956412|H5N1|a/greater_white-fronted_goose/italy/20vir8073-4/2020|2020-11-23|2020.893	Europe
EPI_ISL_18698494|H5N1|a/chicken/argentina/736-1/2023|2023-03-03|2023.167	South America
EPI_ISL_3102069|H5N8|a/chicken/poland/h1161_21rs1385-10/2021|2021-05-13|2021.362	Europe
EPI_ISL_13957821|H5N1|a/chicken/mali/t2-178_22vir6104-3/2022|2022-03-16|2022.203	Africa
EPI_ISL_18132337|H5N1|a/pheasant/texas/usda-010008-002/2022|2022-03-29|2022.238	North America
EPI_ISL_11007538|H5N1|a/hen/bulgaria/722-1_22vir778-1/2021|2021-11-15|2021.871	Europe
EPI_ISL_18133222|H5N1|a/lesser_scaup/maryland/usda-003098-003/2022|2022-01-23|2022.06	North America
EPI_ISL_14702899|H5N1|a/nothern_gannet/france/22p019331/2022|2022-07-13|2022.529	Europe
EPI_ISL_17584808|H5N1|a/chicken/czech_reublic/4761-2/2023|2023-03-27|2023.233	Europe
EPI_ISL_18698514|H5N1|a/turkey/argentina/1711-2/2023|2023-04-19|2023.296	South America
EPI_ISL_18665588|H5N1|a/striped_skunk/bc/aivphl-1082/2023|2023-04-20|2023.299	North America
EPI_ISL_16297084|H5N1|a/turkey/pennsylvania/22-035743-001-original/2022|2022-11-06|2022.847	North America
EPI_ISL_11560233|H5N1|a/brent_goose/netherlands/1/2022|2022-03-03|2022.167	Europe
EPI_ISL_826457|H5N8|a/chicken/sweden/sva210102sz0002/kn000002-ip1/2021|2021-01-02|2021.003	Europe
EPI_ISL_14064890|H5N1|a/crow/hokkaido/0103b073/2022_(h5n1)|2022-04-01|2022.247	Asia
EPI_ISL_18132488|H5N1|a/snow_goose/colorado/usda-008935-006/2022|2022-03-18|2022.208	North America
EPI_ISL_18509068|H5N1|a/black-headed_gull/latvia/34869-1_23vir8835-15/2023|2023-05-29|2023.405	Europe
EPI_ISL_7590312|H5N8|a/branta_canadensis/belgium/500/2021|2021-01-11|2021.027	Europe
EPI_ISL_12968817|H5N1|a/emu/nl/fav-0035-12/2021|2021-12-17|2021.959	North America
EPI_ISL_18245377|H5N1|a/white-fronted_goose/korea/22wc522/2023|2023-02-13|2023.118	Asia
EPI_ISL_4396748|H5N8|a/meleagris_gallopavo/belgium/11293_001/2021|2021-08-30|2021.66	Europe
EPI_ISL_17260685|H5N1|a/red_fox/michigan/22-021733-003-original/2022|2022-07-06|2022.51	North America
EPI_ISL_17638501|H5N1|a/chicken/niger/51-23_23vir3551-29/2023|2023-02-02|2023.088	Africa
EPI_ISL_18133419|H5N1|a/blue-winged_teal/florida/usda-002578-009/2022|2022-01-22|2022.058	North America
EPI_ISL_17885991|H5N1|a/black_vulture/georgia/w22-406/2022|2022-06-23|2022.474	North America
EPI_ISL_16297066|H5N1|a/skunk/minnesota/22-034925-001-original/2022|2022-10-21|2022.803	North America
EPI_ISL_17964889|H5N1|a/black_vulture/louisiana/23-007375-001-original/2023|2023-02-18|2023.132	North America
EPI_ISL_17599455|H5N1|a/falco_peregrinus/belgium/01823_0003/2023|2023-03-01|2023.162	Europe
EPI_ISL_18755338|H5N1|a/tern/espirito_santo/mapa-1339n2/2023|2023-05-15|2023.367	South America
EPI_ISL_18310958|H5N1|a/black-necked_swan/uruguay/udelar-014-m3/2023|2023-02-18|2023.132	South America
EPI_ISL_1941351|H5N8|a/duck/czech_republic/7682-9/2021|2021-04-18|2021.293	Europe
EPI_ISL_5260458|H5N8|a/whooper_swan/shandong/sc198/2021|2021-01-23|2021.06	Asia
EPI_ISL_17260680|H5N1|a/skunk/idaho/22-018976-004-original/2022|2022-06-06|2022.427	North America
EPI_ISL_17373063|H5N1|a/goose/kansas/w22-1143/2022|2022-12-05|2022.926	North America
EPI_ISL_17638496|H5N1|a/chicken/niger/22-23_23vir3551-19/2023|2023-01-17|2023.044	Africa
EPI_ISL_16271862|H5N1|a/chicken/wyoming/22-035579-001-original/2022|2022-11-04|2022.841	North America
EPI_ISL_17964926|H5N1|a/magpie/idaho/23-011169-002-original/2023|2023-03-28|2023.236	North America
EPI_ISL_16271853|H5N1|a/pheasant/michigan/22-036108-001-original/2022|2022-11-08|2022.852	North America
EPI_ISL_16172175|H5N1|a/snow_goose/sk/fav-0216-02/2022|2022-04-02|2022.249	North America
EPI_ISL_13052417|H5N1|a/goose/illinois/22-009720-003-original/2022|2022-03-29|2022.238	North America
EPI_ISL_16297064|H5N1|a/chicken/oregon/22-034833-001-original/2022|2022-10-28|2022.822	North America
EPI_ISL_18076030|H5N1|a/common_tern/italy/23vir6743/2023|2023-07-01|2023.496	Europe
EPI_ISL_7778773|H5N1|a/barnacle_goose/finland/6247_21vir7689-6/2021|2021-05-01|2021.329	Europe
EPI_ISL_943553|H5N5|a/chicken/sweden/sva210117sz0004/kn011326-ip3/2021|2021-01-16|2021.041	Europe
EPI_ISL_13246657|H5N1|a/chicken/iceland/2022ai02565/2022|2022-04-14|2022.282	Europe
EPI_ISL_17051462|H5N1|a/green-winged_teal/bc/aivphl-342/2022|2022-12-15|2022.953	North America
EPI_ISL_15853935|H5N1|a/chicken/south_africa/697683/2022|2022-09-18|2022.712	Africa
EPI_ISL_17424638|H5N1|a/eagle/north_carolina/w23-142a/2023|2023-02-16|2023.126	North America
EPI_ISL_13370693|H5N1|a/greylag_goose/isle_of_man/010298/2022|2022-01-14|2022.036	Europe
EPI_ISL_5146481|H5N1|a/turkey/germany-ni/ai04425/2021|2021-05-03|2021.334	Europe
EPI_ISL_15837655|H5N1|a/chicken/south_africa/21080238/2021|2022-10-10|2022.773	Africa
EPI_ISL_14494796|H5N1|a/vulpes_vulpes/belgium/9031_0008/2022|2022-06-16|2022.455	Europe
EPI_ISL_18132715|H5N1|a/turkey/kansas/usda-011119-001/2022|2022-04-09|2022.268	North America
EPI_ISL_16741326|H5N1|a/chicken/france/22p025486/2022|2022-12-09|2022.937	Europe
EPI_ISL_18032204|H5N1|a/domestic_duck/poland/h72-t1/2023|2023-01-16|2023.041	Europe
EPI_ISL_15853932|H5N1|a/african_penguin/south_africa/693215_p2-0348/2022|2022-07-27|2022.567	Africa
EPI_ISL_17260674|H5N1|a/red_fox/north_dakota/22-017061-002-original/2022|2022-05-23|2022.389	North America
EPI_ISL_18647426|H5N1|a/ichtyaetus_melanocephalus/belgium/06376_0001/2023|2023-07-03|2023.501	Europe
EPI_ISL_18697720|H5N1|a/turkey/iowa/23-032005-001-original/2023|2023-10-19|2023.797	North America
EPI_ISL_18075708|H5N1|a/yellow-legged_gull/spain/2679-1-2023_23vir6502-15/2023|2023-05-30|2023.408	Europe
EPI_ISL_17005631|H5N1|a/great_egret/luxembourg/23040216/2023|2023-02-13|2023.118	Europe
EPI_ISL_5863650|H5N8|a/mallard/georgia/dt-20222/2020|2020-12-29|2020.992	Asia
EPI_ISL_18439563|H5N1|a/brown_skua/bird_island/128288/2023|2023-10-08|2023.767	Antarctica
EPI_ISL_18691862|H5N1|a/swan/texas/23-030412-001-original/2023|2023-10-06|2023.762	North America
EPI_ISL_17964937|H5N1|a/cormorant/california/23-011452-003-original/2023|2023-04-07|2023.263	North America
EPI_ISL_15063839|H5N1|a/bald_eagle/virginia/w22-306/2022|2022-04-15|2022.285	North America
EPI_ISL_2234820|H5N8|a/hawk/romania/10363_21vir2593-11/2021|2021-01-22|2021.058	Europe
EPI_ISL_3128533|H5N8|a/chicken/albania/2574_21vir5387-1/2021|2021-05-31|2021.411	Europe
EPI_ISL_11628238|H5N1|a/silkie_chicken/iowa/22-006114-001/2022|2022-02-28|2022.159	North America
EPI_ISL_16833158|H5N1|a/chicken/luxembourg/23023602/2023|2023-01-25|2023.066	Europe
EPI_ISL_18846970|H5N1|a/duck/egypt/sjceirr-ps21061op/2023|2023-02-09|2023.107	Africa
EPI_ISL_3138618|H5N8|a/whooper_swan/sweden/sva210420sz0485/fb0001581/w-2021|2021-04-15|2021.285	Europe
EPI_ISL_525451|H5N8|a/domestic_duck/poland/222/2020|2020-02-21|2020.139	Europe
EPI_ISL_16113089|H5N1|a/barnacle_goose/denmark/03332-1.02/2022|2022-04-20|2022.299	Europe
EPI_ISL_17512128|H5N1|a/mute_swan/austria/22155612/2022|2022-12-28|2022.989	Europe
EPI_ISL_18271511|H5N1|a/mute_swan/denmark/06134-1.02/2023-07-27|2023-07-27|2023.567	Europe
EPI_ISL_16021788|H5N1|a/red_fox/ns/fav-0543/2022|2022-05-19|2022.378	North America
EPI_ISL_16984878|H5N1|a/branta_canadensis/belgium/10598_0003/2022|2022-08-29|2022.658	Europe
EPI_ISL_18075733|H5N1|a/black-headed_gull/spain/1528-7-2023_23vir6502-9/2023|2023-03-07|2023.178	Europe
EPI_ISL_1048238|H5N8|a/common_kestrel/netherlands/20020264-002/2020|2020-12-17|2020.959	Europe
EPI_ISL_18245813|H5N1|a/hawk/poland/mb544/2021|2021-12-22|2021.973	Europe
EPI_ISL_13009694|H5N1|a/chicken/wyoming/22-009599-002-original/2022|2022-03-26|2022.23	North America
EPI_ISL_17414656|H5N1|a/chicken/nigeria/vrd-21-334_21vir7423-28/2021|2021-06-25|2021.479	Africa
EPI_ISL_16271846|H5N1|a/chicken/new_york/22-035476-001-original/2022|2022-11-03|2022.838	North America
EPI_ISL_16997921|H5N1|a/chicken/ghana/avl-763_21vir7050-39/2021|2021-06-08|2021.433	Africa
EPI_ISL_3102061|H5N8|a/duck/poland/h542_21rs1385-2/2021|2021-04-09|2021.268	Europe
EPI_ISL_18255288|H5N1|a/peregrine_falcon/sweden/sva230808sz0403/fb002649/e-2023|2023-07-20|2023.548	Europe
EPI_ISL_14871337|H5N1|a/poultry/benin/21-a-08-033-o/2021|2021-09-01|2021.666	Africa
EPI_ISL_16244011|H5N1|a/duck/colorado/22-015599-001-original/2022|2022-05-13|2022.362	North America
EPI_ISL_16013990|H5N1|a/red_fox/on/fav-0773-01/2022|2022-05-31|2022.411	North America
EPI_ISL_18458072|H5N1|a/chicken/austria/2782_21vir11353/2021|2021-11-29|2021.91	Europe
EPI_ISL_17964923|H5N1|a/american_crow/iowa/23-010832-002-original/2023|2023-04-04|2023.255	North America
EPI_ISL_18683420|H5N1|a/turkey/kherson/540-6/2023|2023-03-21|2023.216	Europe
EPI_ISL_15699790|H5N1|a/gallus_gallus/belgium/11387_0002/2022|2022-09-29|2022.742	Europe
EPI_ISL_6596216|H5N1|a/barnacle_goose/sweden/sva211102sz0402/fb004395/m-2021|2021-11-02|2021.836	Europe
EPI_ISL_637098|H5N8|a/duck/chelyabinsk/1207-1/2020|2020-07-31|2020.579	Europe
EPI_ISL_14934607|H5N1|a/chicken/south_africa/mab/2021_(h5n1)|2021-08-27|2021.652	Africa
