traits	x	y
EPI_ISL_13902858|H5N1|a/eurasian_curlew/netherlands/2/2022|2022-07-03|2022.501	0.03943304	-0.447718049
EPI_ISL_7622539|H13N8|A/Chroicocephalus_ridibundus/Belgium/13464/2020|2020-12-09|2020.937	0.023910174	-0.468836478
EPI_ISL_3319119|H13N8|A/Common_guillemot/Sweden/SVA210729SZ0317/FB002610/I-2021|2021-07-13|2021.529	0.12556928	-0.375289354
EPI_ISL_18059682|H13N6|A/gull/South_Korea/GNU54/2021|2021-02-04|2021.093	0.498767699	0.391563486
EPI_ISL_15052970|H16N3|A/gull/Shandong/W1359/2021|2021-10-10|2021.773	0.561540418	0.311266935
EPI_ISL_328987|H16N3|A/European_herring_gull/Netherlands/3/2015|2015-11-26|2015.901	0.04492533	-0.455390197
EPI_ISL_328974|H16N3|A/lesser_black-backed_gull/Netherlands/1/2015|2015-09-18|2015.712	0.04492533	-0.455390197
EPI_ISL_337414|H16N3|A/herring_gull/Uvs-Nuur_Lake/56/2017|2017-05-31|2017.411	0.479227996	0.023085448
EPI_ISL_328991|H16N3|A/black-headed_gull/Netherlands/1/2016|2016-07-15|2016.536	0.04492533	-0.455390197
EPI_ISL_328981|H16N3|A/black-headed_gull/Netherlands/3/2016|2016-07-15|2016.536	0.04492533	-0.455390197
EPI_ISL_243597|H16N3|A/black-headed_gull/Netherlands/3/2015|2015-06-30|2015.493	0.04492533	-0.455390197
EPI_ISL_243560|H16N3|A/black-headed_gull/Netherlands/2/2015|2015-06-30|2015.493	0.04492533	-0.455390197
EPI_ISL_243463|H16N3|A/black-headed_gull/Netherlands/5/2015|2015-06-30|2015.493	0.04492533	-0.455390197
EPI_ISL_243545|H16N3|A/black-headed_gull/Netherlands/4/2015|2015-06-30|2015.493	0.04492533	-0.455390197
EPI_ISL_327607|H13N8|A/kelp_gull/Chile/C27733/2017|2017-06-23|2017.474	-1.193507642	-0.398362402
EPI_ISL_327625|H13N9|A/black_skimmer/Chile/C20100/2016|2016-12-13|2016.948	-1.193507642	-0.398362402
EPI_ISL_327624|H13N8|A/black_skimmer/Chile/C20057/2016|2016-12-13|2016.948	-1.193507642	-0.398362402
